attempt_id,run_id,cell_id,bundle_id,period_role,split_role,from_date,to_date,status,attempt_manifest,attempt_manifest_path,tester_config,tester_config_path,claim_boundary,next_action
attempt_wave03_vst_cell_006_l4_validation_v0,onnxlab_wave03_vst_cell_006_expansion_exhaustion_reversal_h12_v0,wave03_vst_cell_006,bundle_wave03_vst_cell_006_l4_onnx_export_v0,validation,validation,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave03_vst_cell_006_l4_validation_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_006_l4_validation_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_006_l4_validation_v0/tester_config.ini,runtime/mt5_attempts/attempt_wave03_vst_cell_006_l4_validation_v0/tester_config.ini,wave03_l4_strategy_tester_attempt_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,work_wave03_volatility_state_l4_runtime_execution_v0
attempt_wave03_vst_cell_006_l4_research_oos_v0,onnxlab_wave03_vst_cell_006_expansion_exhaustion_reversal_h12_v0,wave03_vst_cell_006,bundle_wave03_vst_cell_006_l4_onnx_export_v0,research_oos,oos_a,2025.04.03,2025.11.21,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave03_vst_cell_006_l4_research_oos_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_006_l4_research_oos_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_006_l4_research_oos_v0/tester_config.ini,runtime/mt5_attempts/attempt_wave03_vst_cell_006_l4_research_oos_v0/tester_config.ini,wave03_l4_strategy_tester_attempt_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,work_wave03_volatility_state_l4_runtime_execution_v0
attempt_wave03_vst_cell_007_l4_validation_v0,onnxlab_wave03_vst_cell_007_expansion_followthrough_h6_v0,wave03_vst_cell_007,bundle_wave03_vst_cell_007_l4_onnx_export_v0,validation,validation,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave03_vst_cell_007_l4_validation_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_007_l4_validation_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_007_l4_validation_v0/tester_config.ini,runtime/mt5_attempts/attempt_wave03_vst_cell_007_l4_validation_v0/tester_config.ini,wave03_l4_strategy_tester_attempt_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,work_wave03_volatility_state_l4_runtime_execution_v0
attempt_wave03_vst_cell_007_l4_research_oos_v0,onnxlab_wave03_vst_cell_007_expansion_followthrough_h6_v0,wave03_vst_cell_007,bundle_wave03_vst_cell_007_l4_onnx_export_v0,research_oos,oos_a,2025.04.03,2025.11.21,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave03_vst_cell_007_l4_research_oos_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_007_l4_research_oos_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_007_l4_research_oos_v0/tester_config.ini,runtime/mt5_attempts/attempt_wave03_vst_cell_007_l4_research_oos_v0/tester_config.ini,wave03_l4_strategy_tester_attempt_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,work_wave03_volatility_state_l4_runtime_execution_v0
attempt_wave03_vst_cell_008_l4_validation_v0,onnxlab_wave03_vst_cell_008_expansion_followthrough_h12_v0,wave03_vst_cell_008,bundle_wave03_vst_cell_008_l4_onnx_export_v0,validation,validation,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave03_vst_cell_008_l4_validation_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_008_l4_validation_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_008_l4_validation_v0/tester_config.ini,runtime/mt5_attempts/attempt_wave03_vst_cell_008_l4_validation_v0/tester_config.ini,wave03_l4_strategy_tester_attempt_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,work_wave03_volatility_state_l4_runtime_execution_v0
attempt_wave03_vst_cell_008_l4_research_oos_v0,onnxlab_wave03_vst_cell_008_expansion_followthrough_h12_v0,wave03_vst_cell_008,bundle_wave03_vst_cell_008_l4_onnx_export_v0,research_oos,oos_a,2025.04.03,2025.11.21,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave03_vst_cell_008_l4_research_oos_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_008_l4_research_oos_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_008_l4_research_oos_v0/tester_config.ini,runtime/mt5_attempts/attempt_wave03_vst_cell_008_l4_research_oos_v0/tester_config.ini,wave03_l4_strategy_tester_attempt_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,work_wave03_volatility_state_l4_runtime_execution_v0
attempt_wave03_vst_cell_009_l4_validation_v0,onnxlab_wave03_vst_cell_009_vol_state_tradeability_h8_v0,wave03_vst_cell_009,bundle_wave03_vst_cell_009_l4_onnx_export_v0,validation,validation,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave03_vst_cell_009_l4_validation_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_009_l4_validation_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_009_l4_validation_v0/tester_config.ini,runtime/mt5_attempts/attempt_wave03_vst_cell_009_l4_validation_v0/tester_config.ini,wave03_l4_strategy_tester_attempt_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,work_wave03_volatility_state_l4_runtime_execution_v0
attempt_wave03_vst_cell_009_l4_research_oos_v0,onnxlab_wave03_vst_cell_009_vol_state_tradeability_h8_v0,wave03_vst_cell_009,bundle_wave03_vst_cell_009_l4_onnx_export_v0,research_oos,oos_a,2025.04.03,2025.11.21,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave03_vst_cell_009_l4_research_oos_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_009_l4_research_oos_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_009_l4_research_oos_v0/tester_config.ini,runtime/mt5_attempts/attempt_wave03_vst_cell_009_l4_research_oos_v0/tester_config.ini,wave03_l4_strategy_tester_attempt_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,work_wave03_volatility_state_l4_runtime_execution_v0
attempt_wave03_vst_cell_010_l4_validation_v0,onnxlab_wave03_vst_cell_010_vol_state_tradeability_h12_v0,wave03_vst_cell_010,bundle_wave03_vst_cell_010_l4_onnx_export_v0,validation,validation,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave03_vst_cell_010_l4_validation_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_010_l4_validation_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_010_l4_validation_v0/tester_config.ini,runtime/mt5_attempts/attempt_wave03_vst_cell_010_l4_validation_v0/tester_config.ini,wave03_l4_strategy_tester_attempt_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,work_wave03_volatility_state_l4_runtime_execution_v0
attempt_wave03_vst_cell_010_l4_research_oos_v0,onnxlab_wave03_vst_cell_010_vol_state_tradeability_h12_v0,wave03_vst_cell_010,bundle_wave03_vst_cell_010_l4_onnx_export_v0,research_oos,oos_a,2025.04.03,2025.11.21,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave03_vst_cell_010_l4_research_oos_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_010_l4_research_oos_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_010_l4_research_oos_v0/tester_config.ini,runtime/mt5_attempts/attempt_wave03_vst_cell_010_l4_research_oos_v0/tester_config.ini,wave03_l4_strategy_tester_attempt_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,work_wave03_volatility_state_l4_runtime_execution_v0
attempt_wave03_vst_cell_011_l4_validation_v0,onnxlab_wave03_vst_cell_011_range_expansion_adverse_h6_v0,wave03_vst_cell_011,bundle_wave03_vst_cell_011_l4_onnx_export_v0,validation,validation,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave03_vst_cell_011_l4_validation_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_011_l4_validation_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_011_l4_validation_v0/tester_config.ini,runtime/mt5_attempts/attempt_wave03_vst_cell_011_l4_validation_v0/tester_config.ini,wave03_l4_strategy_tester_attempt_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,work_wave03_volatility_state_l4_runtime_execution_v0
attempt_wave03_vst_cell_011_l4_research_oos_v0,onnxlab_wave03_vst_cell_011_range_expansion_adverse_h6_v0,wave03_vst_cell_011,bundle_wave03_vst_cell_011_l4_onnx_export_v0,research_oos,oos_a,2025.04.03,2025.11.21,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave03_vst_cell_011_l4_research_oos_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_011_l4_research_oos_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_011_l4_research_oos_v0/tester_config.ini,runtime/mt5_attempts/attempt_wave03_vst_cell_011_l4_research_oos_v0/tester_config.ini,wave03_l4_strategy_tester_attempt_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,work_wave03_volatility_state_l4_runtime_execution_v0
attempt_wave03_vst_cell_012_l4_validation_v0,onnxlab_wave03_vst_cell_012_range_expansion_adverse_h8_v0,wave03_vst_cell_012,bundle_wave03_vst_cell_012_l4_onnx_export_v0,validation,validation,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave03_vst_cell_012_l4_validation_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_012_l4_validation_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_012_l4_validation_v0/tester_config.ini,runtime/mt5_attempts/attempt_wave03_vst_cell_012_l4_validation_v0/tester_config.ini,wave03_l4_strategy_tester_attempt_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,work_wave03_volatility_state_l4_runtime_execution_v0
attempt_wave03_vst_cell_012_l4_research_oos_v0,onnxlab_wave03_vst_cell_012_range_expansion_adverse_h8_v0,wave03_vst_cell_012,bundle_wave03_vst_cell_012_l4_onnx_export_v0,research_oos,oos_a,2025.04.03,2025.11.21,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave03_vst_cell_012_l4_research_oos_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_012_l4_research_oos_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_012_l4_research_oos_v0/tester_config.ini,runtime/mt5_attempts/attempt_wave03_vst_cell_012_l4_research_oos_v0/tester_config.ini,wave03_l4_strategy_tester_attempt_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,work_wave03_volatility_state_l4_runtime_execution_v0
attempt_wave03_vst_cell_013_l4_validation_v0,onnxlab_wave03_vst_cell_013_session_open_reversal_h6_v0,wave03_vst_cell_013,bundle_wave03_vst_cell_013_l4_onnx_export_v0,validation,validation,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave03_vst_cell_013_l4_validation_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_013_l4_validation_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_013_l4_validation_v0/tester_config.ini,runtime/mt5_attempts/attempt_wave03_vst_cell_013_l4_validation_v0/tester_config.ini,wave03_l4_strategy_tester_attempt_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,work_wave03_volatility_state_l4_runtime_execution_v0
attempt_wave03_vst_cell_013_l4_research_oos_v0,onnxlab_wave03_vst_cell_013_session_open_reversal_h6_v0,wave03_vst_cell_013,bundle_wave03_vst_cell_013_l4_onnx_export_v0,research_oos,oos_a,2025.04.03,2025.11.21,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave03_vst_cell_013_l4_research_oos_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_013_l4_research_oos_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_013_l4_research_oos_v0/tester_config.ini,runtime/mt5_attempts/attempt_wave03_vst_cell_013_l4_research_oos_v0/tester_config.ini,wave03_l4_strategy_tester_attempt_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,work_wave03_volatility_state_l4_runtime_execution_v0
attempt_wave03_vst_cell_014_l4_validation_v0,onnxlab_wave03_vst_cell_014_session_open_continuation_h8_v0,wave03_vst_cell_014,bundle_wave03_vst_cell_014_l4_onnx_export_v0,validation,validation,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave03_vst_cell_014_l4_validation_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_014_l4_validation_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_014_l4_validation_v0/tester_config.ini,runtime/mt5_attempts/attempt_wave03_vst_cell_014_l4_validation_v0/tester_config.ini,wave03_l4_strategy_tester_attempt_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,work_wave03_volatility_state_l4_runtime_execution_v0
attempt_wave03_vst_cell_014_l4_research_oos_v0,onnxlab_wave03_vst_cell_014_session_open_continuation_h8_v0,wave03_vst_cell_014,bundle_wave03_vst_cell_014_l4_onnx_export_v0,research_oos,oos_a,2025.04.03,2025.11.21,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave03_vst_cell_014_l4_research_oos_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_014_l4_research_oos_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_014_l4_research_oos_v0/tester_config.ini,runtime/mt5_attempts/attempt_wave03_vst_cell_014_l4_research_oos_v0/tester_config.ini,wave03_l4_strategy_tester_attempt_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,work_wave03_volatility_state_l4_runtime_execution_v0
attempt_wave03_vst_cell_015_l4_validation_v0,onnxlab_wave03_vst_cell_015_low_vol_breakout_h6_v0,wave03_vst_cell_015,bundle_wave03_vst_cell_015_l4_onnx_export_v0,validation,validation,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave03_vst_cell_015_l4_validation_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_015_l4_validation_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_015_l4_validation_v0/tester_config.ini,runtime/mt5_attempts/attempt_wave03_vst_cell_015_l4_validation_v0/tester_config.ini,wave03_l4_strategy_tester_attempt_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,work_wave03_volatility_state_l4_runtime_execution_v0
attempt_wave03_vst_cell_015_l4_research_oos_v0,onnxlab_wave03_vst_cell_015_low_vol_breakout_h6_v0,wave03_vst_cell_015,bundle_wave03_vst_cell_015_l4_onnx_export_v0,research_oos,oos_a,2025.04.03,2025.11.21,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave03_vst_cell_015_l4_research_oos_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_015_l4_research_oos_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_015_l4_research_oos_v0/tester_config.ini,runtime/mt5_attempts/attempt_wave03_vst_cell_015_l4_research_oos_v0/tester_config.ini,wave03_l4_strategy_tester_attempt_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,work_wave03_volatility_state_l4_runtime_execution_v0
attempt_wave03_vst_cell_016_l4_validation_v0,onnxlab_wave03_vst_cell_016_low_vol_false_break_h8_v0,wave03_vst_cell_016,bundle_wave03_vst_cell_016_l4_onnx_export_v0,validation,validation,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave03_vst_cell_016_l4_validation_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_016_l4_validation_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_016_l4_validation_v0/tester_config.ini,runtime/mt5_attempts/attempt_wave03_vst_cell_016_l4_validation_v0/tester_config.ini,wave03_l4_strategy_tester_attempt_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,work_wave03_volatility_state_l4_runtime_execution_v0
attempt_wave03_vst_cell_016_l4_research_oos_v0,onnxlab_wave03_vst_cell_016_low_vol_false_break_h8_v0,wave03_vst_cell_016,bundle_wave03_vst_cell_016_l4_onnx_export_v0,research_oos,oos_a,2025.04.03,2025.11.21,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave03_vst_cell_016_l4_research_oos_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_016_l4_research_oos_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave03_vst_cell_016_l4_research_oos_v0/tester_config.ini,runtime/mt5_attempts/attempt_wave03_vst_cell_016_l4_research_oos_v0/tester_config.ini,wave03_l4_strategy_tester_attempt_preparation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve,work_wave03_volatility_state_l4_runtime_execution_v0
