run_id,wave_id,campaign_id,idea_id,hypothesis_id,surface_id,sweep_id,status,created_at_utc,primary_family,primary_skill,manifest_path,receipt_path,lineage_path,metrics_path,claim_boundary,result_judgment,required_gates,evidence_path,next_action,notes
onnxlab_wave0_cell_008_surface_scout_v0,wave_us100_closedbar_surface_cartography_v0,campaign_us100_task_surface_scout_v0,idea_us100_m5_blank_slate_surface_map_v0,hyp_surface_diversity_before_model_search_v0,surface_us100_task_input_decision_rotation_v0,sweep_wave0_broad_surface_scout_v0,executed_proxy_scout,2026-06-21T15:54:35Z,model_training,spacesonar-model-validation,lab/runs/onnxlab_wave0_cell_008_surface_scout_v0/run_manifest.json,lab/runs/onnxlab_wave0_cell_008_surface_scout_v0/experiment_receipt.yaml,lab/runs/onnxlab_wave0_cell_008_surface_scout_v0/artifact_lineage.json,lab/runs/onnxlab_wave0_cell_008_surface_scout_v0/metrics.json,first_batch_proxy_scout_l4_required_no_candidate_no_baseline_no_runtime_authority,preserved_clue,branch_worktree_fit|split_boundary_check|selection_bias_check|run_manifest|experiment_receipt|storage_contract_check|runtime_learning_probe_decision|final_claim_guard|not_applicable:locked_final_oos_access|missing:onnx_export_or_runtime_materialization_required|missing:L4_split_runtime_probe_for_valid_proxy_run,lab/campaigns/campaign_us100_task_surface_scout_v0/sweeps/sweep_wave0_broad_surface_scout_v0/axis_review_wave0_first_batch_v0.yaml,work_wave0_first_batch_l4_follow_through_v0,proxy_to_l4_policy_clarified_all_valid_proxy_runs_require_l4
onnxlab_wave0_cell_009_surface_scout_v0,wave_us100_closedbar_surface_cartography_v0,campaign_us100_task_surface_scout_v0,idea_us100_m5_blank_slate_surface_map_v0,hyp_surface_diversity_before_model_search_v0,surface_us100_task_input_decision_rotation_v0,sweep_wave0_broad_surface_scout_v0,executed_proxy_scout,2026-06-21T15:54:35Z,model_training,spacesonar-model-validation,lab/runs/onnxlab_wave0_cell_009_surface_scout_v0/run_manifest.json,lab/runs/onnxlab_wave0_cell_009_surface_scout_v0/experiment_receipt.yaml,lab/runs/onnxlab_wave0_cell_009_surface_scout_v0/artifact_lineage.json,lab/runs/onnxlab_wave0_cell_009_surface_scout_v0/metrics.json,first_batch_proxy_scout_l4_required_no_candidate_no_baseline_no_runtime_authority,inconclusive,branch_worktree_fit|split_boundary_check|selection_bias_check|run_manifest|experiment_receipt|storage_contract_check|runtime_learning_probe_decision|final_claim_guard|not_applicable:locked_final_oos_access|missing:onnx_export_or_runtime_materialization_required|missing:L4_split_runtime_probe_for_valid_proxy_run,lab/campaigns/campaign_us100_task_surface_scout_v0/sweeps/sweep_wave0_broad_surface_scout_v0/axis_review_wave0_first_batch_v0.yaml,work_wave0_first_batch_l4_follow_through_v0,proxy_to_l4_policy_clarified_all_valid_proxy_runs_require_l4
onnxlab_wave0_cell_010_surface_scout_v0,wave_us100_closedbar_surface_cartography_v0,campaign_us100_task_surface_scout_v0,idea_us100_m5_blank_slate_surface_map_v0,hyp_surface_diversity_before_model_search_v0,surface_us100_task_input_decision_rotation_v0,sweep_wave0_broad_surface_scout_v0,executed_proxy_scout,2026-06-21T15:54:35Z,model_training,spacesonar-model-validation,lab/runs/onnxlab_wave0_cell_010_surface_scout_v0/run_manifest.json,lab/runs/onnxlab_wave0_cell_010_surface_scout_v0/experiment_receipt.yaml,lab/runs/onnxlab_wave0_cell_010_surface_scout_v0/artifact_lineage.json,lab/runs/onnxlab_wave0_cell_010_surface_scout_v0/metrics.json,first_batch_proxy_scout_l4_required_no_candidate_no_baseline_no_runtime_authority,preserved_clue,branch_worktree_fit|split_boundary_check|selection_bias_check|run_manifest|experiment_receipt|storage_contract_check|runtime_learning_probe_decision|final_claim_guard|not_applicable:locked_final_oos_access|missing:onnx_export_or_runtime_materialization_required|missing:L4_split_runtime_probe_for_valid_proxy_run,lab/campaigns/campaign_us100_task_surface_scout_v0/sweeps/sweep_wave0_broad_surface_scout_v0/axis_review_wave0_first_batch_v0.yaml,work_wave0_first_batch_l4_follow_through_v0,proxy_to_l4_policy_clarified_all_valid_proxy_runs_require_l4
onnxlab_wave0_cell_011_surface_scout_v0,wave_us100_closedbar_surface_cartography_v0,campaign_us100_task_surface_scout_v0,idea_us100_m5_blank_slate_surface_map_v0,hyp_surface_diversity_before_model_search_v0,surface_us100_task_input_decision_rotation_v0,sweep_wave0_broad_surface_scout_v0,executed_proxy_scout,2026-06-21T15:54:35Z,model_training,spacesonar-model-validation,lab/runs/onnxlab_wave0_cell_011_surface_scout_v0/run_manifest.json,lab/runs/onnxlab_wave0_cell_011_surface_scout_v0/experiment_receipt.yaml,lab/runs/onnxlab_wave0_cell_011_surface_scout_v0/artifact_lineage.json,lab/runs/onnxlab_wave0_cell_011_surface_scout_v0/metrics.json,first_batch_proxy_scout_l4_required_no_candidate_no_baseline_no_runtime_authority,preserved_clue,branch_worktree_fit|split_boundary_check|selection_bias_check|run_manifest|experiment_receipt|storage_contract_check|runtime_learning_probe_decision|final_claim_guard|not_applicable:locked_final_oos_access|missing:onnx_export_or_runtime_materialization_required|missing:L4_split_runtime_probe_for_valid_proxy_run,lab/campaigns/campaign_us100_task_surface_scout_v0/sweeps/sweep_wave0_broad_surface_scout_v0/axis_review_wave0_first_batch_v0.yaml,work_wave0_first_batch_l4_follow_through_v0,proxy_to_l4_policy_clarified_all_valid_proxy_runs_require_l4
onnxlab_wave0_cell_012_surface_scout_v0,wave_us100_closedbar_surface_cartography_v0,campaign_us100_task_surface_scout_v0,idea_us100_m5_blank_slate_surface_map_v0,hyp_surface_diversity_before_model_search_v0,surface_us100_task_input_decision_rotation_v0,sweep_wave0_broad_surface_scout_v0,executed_proxy_scout,2026-06-21T15:54:35Z,model_training,spacesonar-model-validation,lab/runs/onnxlab_wave0_cell_012_surface_scout_v0/run_manifest.json,lab/runs/onnxlab_wave0_cell_012_surface_scout_v0/experiment_receipt.yaml,lab/runs/onnxlab_wave0_cell_012_surface_scout_v0/artifact_lineage.json,lab/runs/onnxlab_wave0_cell_012_surface_scout_v0/metrics.json,first_batch_proxy_scout_l4_required_no_candidate_no_baseline_no_runtime_authority,preserved_clue,branch_worktree_fit|split_boundary_check|selection_bias_check|run_manifest|experiment_receipt|storage_contract_check|runtime_learning_probe_decision|final_claim_guard|not_applicable:locked_final_oos_access|missing:onnx_export_or_runtime_materialization_required|missing:L4_split_runtime_probe_for_valid_proxy_run,lab/campaigns/campaign_us100_task_surface_scout_v0/sweeps/sweep_wave0_broad_surface_scout_v0/axis_review_wave0_first_batch_v0.yaml,work_wave0_first_batch_l4_follow_through_v0,proxy_to_l4_policy_clarified_all_valid_proxy_runs_require_l4
onnxlab_wave01_eb_cell_001_event_barrier_surface_v0,wave_us100_closedbar_surface_cartography_v0,campaign_us100_event_barrier_decision_surface_v0,idea_us100_m5_event_barrier_decision_surface_v0,hyp_us100_event_barrier_decision_surface_v0,surface_us100_event_barrier_decision_surface_v0,sweep_us100_event_barrier_broad_v0,executed_proxy_observation_l4_required,2026-06-21T22:29:21.063778Z,model_training,spacesonar-model-validation,lab/runs/onnxlab_wave01_eb_cell_001_event_barrier_surface_v0/run_manifest.json,lab/runs/onnxlab_wave01_eb_cell_001_event_barrier_surface_v0/experiment_receipt.yaml,lab/runs/onnxlab_wave01_eb_cell_001_event_barrier_surface_v0/artifact_lineage.json,lab/runs/onnxlab_wave01_eb_cell_001_event_barrier_surface_v0/metrics.json,wave01_event_barrier_proxy_batch_l4_required_no_candidate_no_baseline_no_runtime_authority,inconclusive,branch_worktree_fit|time_axis_check|feature_label_boundary_check|split_boundary_check|selection_bias_check|run_manifest|experiment_receipt|storage_contract_check|runtime_learning_probe_decision|proxy_runtime_parity_decision|final_claim_guard|missing:L4_split_runtime_probe_for_valid_proxy_run|not_applicable:locked_final_oos_access,lab/runs/onnxlab_wave01_eb_cell_001_event_barrier_surface_v0/reports/proxy_event_barrier_report.json,work_wave01_event_barrier_l4_materialization_preflight_v0,"Wave01 event/barrier proxy observation; L4 required; no candidate, baseline, runtime authority, economics, or live claim"
onnxlab_wave01_eb_cell_002_event_barrier_surface_v0,wave_us100_closedbar_surface_cartography_v0,campaign_us100_event_barrier_decision_surface_v0,idea_us100_m5_event_barrier_decision_surface_v0,hyp_us100_event_barrier_decision_surface_v0,surface_us100_event_barrier_decision_surface_v0,sweep_us100_event_barrier_broad_v0,executed_proxy_observation_l4_required,2026-06-21T22:29:27.707415Z,model_training,spacesonar-model-validation,lab/runs/onnxlab_wave01_eb_cell_002_event_barrier_surface_v0/run_manifest.json,lab/runs/onnxlab_wave01_eb_cell_002_event_barrier_surface_v0/experiment_receipt.yaml,lab/runs/onnxlab_wave01_eb_cell_002_event_barrier_surface_v0/artifact_lineage.json,lab/runs/onnxlab_wave01_eb_cell_002_event_barrier_surface_v0/metrics.json,wave01_event_barrier_proxy_batch_l4_required_no_candidate_no_baseline_no_runtime_authority,preserved_clue,branch_worktree_fit|time_axis_check|feature_label_boundary_check|split_boundary_check|selection_bias_check|run_manifest|experiment_receipt|storage_contract_check|runtime_learning_probe_decision|proxy_runtime_parity_decision|final_claim_guard|missing:L4_split_runtime_probe_for_valid_proxy_run|not_applicable:locked_final_oos_access,lab/runs/onnxlab_wave01_eb_cell_002_event_barrier_surface_v0/reports/proxy_event_barrier_report.json,work_wave01_event_barrier_l4_materialization_preflight_v0,"Wave01 event/barrier proxy observation; L4 required; no candidate, baseline, runtime authority, economics, or live claim"
onnxlab_wave01_eb_cell_003_event_barrier_surface_v0,wave_us100_closedbar_surface_cartography_v0,campaign_us100_event_barrier_decision_surface_v0,idea_us100_m5_event_barrier_decision_surface_v0,hyp_us100_event_barrier_decision_surface_v0,surface_us100_event_barrier_decision_surface_v0,sweep_us100_event_barrier_broad_v0,executed_proxy_observation_l4_required,2026-06-21T22:29:32.287080Z,model_training,spacesonar-model-validation,lab/runs/onnxlab_wave01_eb_cell_003_event_barrier_surface_v0/run_manifest.json,lab/runs/onnxlab_wave01_eb_cell_003_event_barrier_surface_v0/experiment_receipt.yaml,lab/runs/onnxlab_wave01_eb_cell_003_event_barrier_surface_v0/artifact_lineage.json,lab/runs/onnxlab_wave01_eb_cell_003_event_barrier_surface_v0/metrics.json,wave01_event_barrier_proxy_batch_l4_required_no_candidate_no_baseline_no_runtime_authority,inconclusive,branch_worktree_fit|time_axis_check|feature_label_boundary_check|split_boundary_check|selection_bias_check|run_manifest|experiment_receipt|storage_contract_check|runtime_learning_probe_decision|proxy_runtime_parity_decision|final_claim_guard|missing:L4_split_runtime_probe_for_valid_proxy_run|not_applicable:locked_final_oos_access,lab/runs/onnxlab_wave01_eb_cell_003_event_barrier_surface_v0/reports/proxy_event_barrier_report.json,work_wave01_event_barrier_l4_materialization_preflight_v0,"Wave01 event/barrier proxy observation; L4 required; no candidate, baseline, runtime authority, economics, or live claim"
onnxlab_wave01_eb_cell_004_event_barrier_surface_v0,wave_us100_closedbar_surface_cartography_v0,campaign_us100_event_barrier_decision_surface_v0,idea_us100_m5_event_barrier_decision_surface_v0,hyp_us100_event_barrier_decision_surface_v0,surface_us100_event_barrier_decision_surface_v0,sweep_us100_event_barrier_broad_v0,executed_proxy_observation_l4_required,2026-06-21T22:29:35.630443Z,model_training,spacesonar-model-validation,lab/runs/onnxlab_wave01_eb_cell_004_event_barrier_surface_v0/run_manifest.json,lab/runs/onnxlab_wave01_eb_cell_004_event_barrier_surface_v0/experiment_receipt.yaml,lab/runs/onnxlab_wave01_eb_cell_004_event_barrier_surface_v0/artifact_lineage.json,lab/runs/onnxlab_wave01_eb_cell_004_event_barrier_surface_v0/metrics.json,wave01_event_barrier_proxy_batch_l4_required_no_candidate_no_baseline_no_runtime_authority,preserved_clue,branch_worktree_fit|time_axis_check|feature_label_boundary_check|split_boundary_check|selection_bias_check|run_manifest|experiment_receipt|storage_contract_check|runtime_learning_probe_decision|proxy_runtime_parity_decision|final_claim_guard|missing:L4_split_runtime_probe_for_valid_proxy_run|not_applicable:locked_final_oos_access,lab/runs/onnxlab_wave01_eb_cell_004_event_barrier_surface_v0/reports/proxy_event_barrier_report.json,work_wave01_event_barrier_l4_materialization_preflight_v0,"Wave01 event/barrier proxy observation; L4 required; no candidate, baseline, runtime authority, economics, or live claim"
onnxlab_wave01_eb_cell_005_event_barrier_surface_v0,wave_us100_closedbar_surface_cartography_v0,campaign_us100_event_barrier_decision_surface_v0,idea_us100_m5_event_barrier_decision_surface_v0,hyp_us100_event_barrier_decision_surface_v0,surface_us100_event_barrier_decision_surface_v0,sweep_us100_event_barrier_broad_v0,executed_proxy_observation_l4_required,2026-06-21T22:29:38.382414Z,model_training,spacesonar-model-validation,lab/runs/onnxlab_wave01_eb_cell_005_event_barrier_surface_v0/run_manifest.json,lab/runs/onnxlab_wave01_eb_cell_005_event_barrier_surface_v0/experiment_receipt.yaml,lab/runs/onnxlab_wave01_eb_cell_005_event_barrier_surface_v0/artifact_lineage.json,lab/runs/onnxlab_wave01_eb_cell_005_event_barrier_surface_v0/metrics.json,wave01_event_barrier_proxy_batch_l4_required_no_candidate_no_baseline_no_runtime_authority,inconclusive,branch_worktree_fit|time_axis_check|feature_label_boundary_check|split_boundary_check|selection_bias_check|run_manifest|experiment_receipt|storage_contract_check|runtime_learning_probe_decision|proxy_runtime_parity_decision|final_claim_guard|missing:L4_split_runtime_probe_for_valid_proxy_run|not_applicable:locked_final_oos_access,lab/runs/onnxlab_wave01_eb_cell_005_event_barrier_surface_v0/reports/proxy_event_barrier_report.json,work_wave01_event_barrier_l4_materialization_preflight_v0,"Wave01 event/barrier proxy observation; L4 required; no candidate, baseline, runtime authority, economics, or live claim"
